payment_sk,payment_id,date_id,customer_sk,channel_sk,store_sk,location_sk,status,method,transaction_ref,amount
1383,7000001382,20250620.0,1354,2,1.0,1829.0,PAID,TRANSFER,TX-SF3SDVEF23NR,119245.5
1384,7000001383,20250821.0,1447,1,,2423.0,REFUNDED,GATEWAY,TX-S3SBGTSVLUOP,13721.4
1385,7000001384,20241006.0,995,2,2.0,583.0,PAID,CASH,TX-VVMFT5I599IL,56337.6
1386,7000001385,20241023.0,755,1,,1931.0,PAID,CARD,TX-SXW0XN6R31X5,15720.0
1387,7000001386,20240802.0,964,1,,94.0,PAID,CARD,TX-BAR2ZSIN4SCZ,19350.0
1388,7000001387,20240724.0,147,1,,,PAID,CARD,TX-EFNCY2S70RPP,14994.0
1389,7000001388,20250214.0,1340,2,1.0,1871.0,PAID,CARD,TX-0VU2FFOWOZML,54754.92
1390,7000001389,20250502.0,544,1,,330.0,PAID,GATEWAY,TX-2A3685MHN77S,13794.0
1391,7000001390,20250628.0,667,1,,746.0,PAID,GATEWAY,TX-P0RLTG4O4C1Y,40104.0
1392,7000001391,,1200,2,4.0,,FAILED,CARD,,43560.0
1393,7000001392,20240613.0,1251,1,,1588.0,PAID,CARD,TX-LENQWF3NWV6X,24722.4
1394,7000001393,20240827.0,1187,1,,2293.0,PAID,CARD,TX-UWMKVCB2ITPV,30564.6
1395,7000001394,20240125.0,1158,2,3.0,280.0,REFUNDED,CASH,TX-9FRFFM97N5QT,42688.8
1396,7000001395,20241004.0,250,1,,3141.0,PAID,CARD,TX-JSGNINS0S62T,55213.88
1397,7000001396,20241222.0,618,1,,1233.0,PAID,CARD,TX-AH6IX4R8QGOE,16852.56
1398,7000001397,20250713.0,1319,2,3.0,2417.0,PAID,CASH,TX-Q8G4BUESR9EY,19057.5
1399,7000001398,20241110.0,5,2,2.0,1007.0,PAID,CARD,TX-VDG7EOG9TQFQ,51455.25
1400,7000001399,20250201.0,1390,1,,2855.0,REFUNDED,GATEWAY,TX-AK33MUH4ZMH4,71057.25
1401,7000001400,20250102.0,761,1,,2592.0,PAID,CARD,TX-CH1DVUGFHYZ3,48054.75
1402,7000001401,20241201.0,16,2,4.0,,PAID,TRANSFER,TX-YWZ6DTVLD008,59604.6
1403,7000001402,20240729.0,261,1,,89.0,PAID,CARD,TX-OZKZMNLCJJMS,15129.6
1404,7000001403,20250804.0,18,1,,1533.0,PAID,GATEWAY,TX-1ALVY5TYHHMB,98764.8
1405,7000001404,20250713.0,1320,1,,1011.0,PAID,GATEWAY,TX-XFJOTWU2MYD1,50205.0
1406,7000001405,20240410.0,1010,1,,2611.0,PAID,GATEWAY,TX-A6STMZXGV254,18687.0
1407,7000001406,20240329.0,614,2,1.0,3142.0,PAID,CASH,TX-G45AUCAO5DRM,102583.8
1408,7000001407,20250426.0,1264,1,,1993.0,PAID,GATEWAY,TX-LM8MQ1F6YSV7,13068.0
1409,7000001408,20240828.0,1134,1,,1819.0,PAID,CARD,TX-O02MFRG63LHL,31936.5
1410,7000001409,20250210.0,385,1,,2909.0,PAID,CARD,TX-GHFW96UEJFJ6,52852.56
1411,7000001410,20240719.0,235,1,,2038.0,PAID,CARD,TX-AAR4Z99JSEH3,17835.0
1412,7000001411,20241108.0,1388,1,,16.0,PAID,GATEWAY,TX-IOVTNVHE45I0,15841.08
1413,7000001412,20250624.0,398,1,,34.0,PAID,GATEWAY,TX-Q6THYG195XYA,43888.8
1414,7000001413,20250713.0,774,1,,2010.0,PAID,GATEWAY,TX-5SEDGPGT33RX,17472.0
1415,7000001414,20250607.0,833,1,,1733.0,PAID,CARD,TX-PGACQK4THVYX,18987.0
1416,7000001415,20240119.0,195,2,2.0,2698.0,PAID,TRANSFER,TX-XHPFR5CXAJR0,34485.0
1417,7000001416,20241231.0,355,2,2.0,,PAID,CARD,TX-2C4X8VOE9TPI,29040.0
1418,7000001417,20250502.0,1095,2,2.0,2577.0,REFUNDED,TRANSFER,TX-59UB9ZO5NQR8,13794.0
1419,7000001418,,1374,2,2.0,82.0,FAILED,CASH,,132259.05
1420,7000001419,20250128.0,1426,1,,,PAID,CARD,TX-B3NYMV2H7ZX6,38252.7
1421,7000001420,20240713.0,1226,1,,3040.0,PAID,GATEWAY,TX-XCESRTB8CQYO,15294.0
1422,7000001421,20241216.0,561,1,,,PAID,CARD,TX-G45OK930E3O7,58100.25
1423,7000001422,20240430.0,756,1,,2847.0,REFUNDED,CARD,TX-GBIEOWUF75WG,49053.0
1424,7000001423,20240430.0,418,2,1.0,2513.0,PAID,CASH,TX-D80OAJ4YSFQP,14520.0
1425,7000001424,20240512.0,1213,1,,1381.0,PAID,GATEWAY,TX-AWG8P5WQFYR5,50505.0
1426,7000001425,20241122.0,600,2,3.0,2364.0,PAID,TRANSFER,TX-I16GQBWL11MI,30346.8
1427,7000001426,20240802.0,242,2,3.0,739.0,PAID,CARD,TX-CYH09WWL1J1K,60984.0
1428,7000001427,20241002.0,341,2,1.0,2034.0,PAID,CARD,TX-IWTRNXXVKB36,43560.0
1429,7000001428,20250703.0,325,2,1.0,3053.0,PAID,CARD,TX-RW19SG6BYHAD,76847.1
1430,7000001429,20240208.0,104,1,,1602.0,PAID,GATEWAY,TX-QUFN9256GKFM,15429.6
1431,7000001430,20241007.0,1125,2,1.0,1871.0,PAID,CASH,TX-JFK6OLGJJGAW,49005.0
1432,7000001431,20250803.0,598,1,,,REFUNDED,GATEWAY,TX-7BZAJGHMKM81,101785.2
1433,7000001432,20250323.0,20,1,,3130.0,PAID,CARD,TX-SDETN3HOJWXU,86414.25
1434,7000001433,20250720.0,656,1,,2147.0,PAID,GATEWAY,TX-P4DB71KQ8X8V,43560.0
1435,7000001434,20250930.0,319,2,3.0,2443.0,PAID,CASH,TX-Z2H02C0CMEKS,61129.2
1436,7000001435,20240229.0,922,2,3.0,690.0,PAID,CASH,TX-PNG7X0AEY908,101549.25
1437,7000001436,20240406.0,868,2,1.0,2109.0,PAID,CARD,TX-7OX402L7NDBW,27588.0
1438,7000001437,20240531.0,31,2,1.0,3127.0,PAID,CARD,TX-IQHD6VX67QBH,11761.2
1439,7000001438,20240109.0,890,2,4.0,525.0,PAID,CARD,TX-P8CU58XZUDG5,54450.0
1440,7000001439,20250623.0,643,1,,1310.0,PAID,GATEWAY,TX-FAAIBY1G9SFL,18687.0
1441,7000001440,20241113.0,1110,1,,665.0,PAID,CARD,TX-WR9L6OAFAZHU,17235.0
1442,7000001441,20240918.0,1210,1,,1094.0,PAID,CARD,TX-IG5VZLLLWK6Z,73618.5
1443,7000001442,,1041,2,1.0,1248.0,FAILED,CASH,,29040.0
1444,7000001443,20240531.0,561,1,,2600.0,PAID,GATEWAY,TX-KDUDPE0CTF72,72200.7
1445,7000001444,,812,1,,750.0,FAILED,CARD,,14921.4
1446,7000001445,20241116.0,1219,2,3.0,3095.0,PAID,CARD,TX-1XS9QSZ4A1XF,45520.2
1447,7000001446,20240312.0,1246,2,3.0,2928.0,PAID,CASH,TX-6DFRZHXKA7UA,44286.0
1448,7000001447,,116,1,,2356.0,FAILED,CARD,,43451.1
1449,7000001448,20241220.0,204,2,2.0,1630.0,PAID,CASH,TX-F4ZKRWAYE537,28459.2
1450,7000001449,20250501.0,116,2,3.0,2438.0,PAID,CARD,TX-4O724M9RABPK,15246.0
1451,7000001450,20240709.0,491,1,,1420.0,PAID,GATEWAY,TX-SY4YSLCJNIO8,16746.0
1452,7000001451,20250823.0,1281,1,,1012.0,PAID,CARD,TX-R0NZSPA2RZ6B,99384.24
1453,7000001452,20250501.0,384,2,2.0,1588.0,PAID,CASH,TX-UOJDY08VM4KC,100914.0
1454,7000001453,20250804.0,595,2,3.0,2635.0,PAID,CARD,TX-0MUVV7WAO58J,13794.0
1455,7000001454,20250224.0,185,1,,1616.0,PAID,CARD,TX-4NLGV1OF6BCW,30748.2
1456,7000001455,20250719.0,1329,1,,1914.0,PAID,GATEWAY,TX-21ZWS4NG692U,50205.0
1457,7000001456,20240121.0,458,2,4.0,1145.0,PAID,CARD,TX-501EVGVTN77R,64817.28
1458,7000001457,20240323.0,711,1,,845.0,PAID,CARD,TX-T9UK3J916JCM,14568.0
1459,7000001458,20240212.0,1169,1,,23.0,PAID,GATEWAY,TX-T9RYWWC8PH9M,55350.0
1460,7000001459,20240613.0,1185,1,,472.0,PAID,GATEWAY,TX-GVVY0BQJW3E1,67329.0
1461,7000001460,,1042,2,1.0,1539.0,FAILED,CASH,,73507.5
1462,7000001461,20240219.0,941,2,1.0,1277.0,PAID,CASH,TX-VO5CQPOWJW66,29882.16
1463,7000001462,20240710.0,963,2,3.0,229.0,PAID,CARD,TX-LQWUY6BIB8PO,76484.1
1464,7000001463,20250209.0,642,1,,3154.0,PAID,CARD,TX-Q77IC7EBKM7Q,59851.2
1465,7000001464,20240417.0,948,2,1.0,873.0,PAID,CASH,TX-GMMTFHSFS34S,81791.16
1466,7000001465,20240512.0,1356,1,,2311.0,PAID,CARD,TX-TX73762G9SQY,38743.8
1467,7000001466,,708,1,,356.0,FAILED,GATEWAY,,38253.75
1468,7000001467,20240217.0,841,2,1.0,1931.0,PAID,TRANSFER,TX-G51M922RFS3S,31036.5
1469,7000001468,20250815.0,1325,2,2.0,2800.0,PAID,CARD,TX-HZG3KC1AVEE1,32307.0
1470,7000001469,20240105.0,703,1,,1020.0,PAID,GATEWAY,TX-ZK2HACI167DV,14268.0
1471,7000001470,20240930.0,748,1,,161.0,PAID,GATEWAY,TX-G7YKOVFZKIJN,42064.2
1472,7000001471,20240505.0,1219,2,4.0,,PAID,CARD,TX-LABEUL52E63Z,17787.0
1473,7000001472,20240326.0,1358,2,1.0,769.0,PAID,CASH,TX-OH90EMIU2DG7,54722.25
1474,7000001473,20240718.0,395,1,,2463.0,PAID,GATEWAY,TX-1JECCOAVBMWB,43308.0
1475,7000001474,20241201.0,536,1,,,PAID,GATEWAY,TX-UZ6MRXLC88DI,69018.0
1476,7000001475,20250617.0,31,2,1.0,,PAID,CARD,TX-ZBYIBIVR1X0D,108900.0
1477,7000001476,20240103.0,1414,1,,1766.0,PAID,CARD,TX-EGVP6U3T78H9,50505.0
1478,7000001477,20240324.0,963,1,,,PAID,CARD,TX-0SKOXTPI98ME,29659.2
1479,7000001478,20250807.0,780,1,,2458.0,PAID,CARD,TX-OP23BQG3E3AE,41188.08
1480,7000001479,,489,1,,2316.0,FAILED,GATEWAY,,45738.0
1481,7000001480,20250421.0,42,2,3.0,97.0,REFUNDED,CASH,TX-H1IMBNC41J6R,44921.25
1482,7000001481,20240413.0,228,2,1.0,2357.0,PAID,CASH,TX-BNCZPJDJK0X3,67881.0
1483,7000001482,20250215.0,670,1,,1043.0,PAID,CARD,TX-XQIB8I0CP6SF,29040.0
1484,7000001483,20240722.0,652,2,2.0,2811.0,PAID,CASH,TX-HF1FF1NMT3ZW,48024.9
1485,7000001484,20240917.0,308,2,1.0,,PAID,CARD,TX-NMOKBKS65T2V,78843.6
1486,7000001485,20241230.0,1094,1,,2085.0,REFUNDED,GATEWAY,TX-LFAPMODOXGYL,82401.0
1487,7000001486,20240709.0,76,2,3.0,804.0,PAID,CARD,TX-MD7JITKHBBLB,52272.0
1488,7000001487,20240818.0,1435,1,,95.0,REFUNDED,GATEWAY,TX-3ZRSRDQVVR2D,13068.0
1489,7000001488,20241003.0,703,1,,2743.0,PAID,CARD,TX-B3TT23MCGVTZ,16852.56
1490,7000001489,20250731.0,792,2,1.0,491.0,PAID,CARD,TX-82CRG7A1Z6OF,15972.0
1491,7000001490,20240517.0,332,1,,2284.0,PAID,GATEWAY,TX-9UDJJP19B4GM,13314.6
1492,7000001491,20250131.0,69,1,,1391.0,PAID,CARD,TX-9XM98LNX8IGN,92429.16
1493,7000001492,20240702.0,311,2,4.0,413.0,PAID,CASH,TX-LZN3X1OSG1QB,17242.5
1494,7000001493,20250521.0,724,1,,,PAID,GATEWAY,TX-9G19TQGCHGRG,35203.5
1495,7000001494,20250718.0,1238,1,,339.0,PAID,GATEWAY,TX-5TZK8RN2W3MN,29867.4
1496,7000001495,20240324.0,488,2,3.0,,PAID,CASH,TX-MVDU1SYJ4645,56029.05
1497,7000001496,20241106.0,1435,2,3.0,2939.0,PAID,CARD,TX-K0C60UE1QIZ4,41382.0
1498,7000001497,20250502.0,612,2,3.0,979.0,PAID,CASH,TX-7N5MWCSLVMAF,16335.0
1499,7000001498,20240224.0,1116,2,3.0,2196.0,PAID,CARD,TX-A6SEV4PVENK1,39930.0
1500,7000001499,20240822.0,1496,1,,,PAID,CARD,TX-0V9L1R6QSQGS,37137.0
1501,7000001500,20240130.0,559,2,2.0,2428.0,PAID,CARD,TX-YGUSOSN3MOBA,14483.7
1502,7000001501,20250101.0,745,2,3.0,850.0,PAID,CASH,TX-S4OMG7ZT9MBT,101277.0
1503,7000001502,20241213.0,790,1,,2312.0,PAID,GATEWAY,TX-KN0JZYU3LNPC,66392.7
1504,7000001503,20240412.0,67,2,4.0,1105.0,PAID,CASH,TX-S76YKXAXLW8B,14520.0
1505,7000001504,20250226.0,1029,1,,1247.0,PAID,CARD,TX-U1U57JGD5622,39204.0
1506,7000001505,20250823.0,1360,2,1.0,80.0,PAID,TRANSFER,TX-UPX7WN10WCXY,49005.0
1507,7000001506,20250625.0,1366,1,,1652.0,PAID,GATEWAY,TX-34QT3KSK4DPG,30240.0
1508,7000001507,,404,1,,2336.0,FAILED,CARD,,45723.24
1509,7000001508,20241216.0,102,2,2.0,,PAID,CASH,TX-JFA3LVFZR4XX,13068.0
1510,7000001509,20251003.0,1386,1,,1502.0,PAID,CARD,TX-L8VLSHY7AI60,37137.0
1511,7000001510,20240510.0,1026,1,,1906.0,PAID,CARD,TX-2SGAAQEYE3V7,92385.6
1512,7000001511,20240731.0,185,1,,,REFUNDED,CARD,TX-QPCPHEN6X2W6,30303.0
1513,7000001512,20240329.0,875,1,,803.0,PAID,GATEWAY,TX-8KYW2P0ZR514,44760.0
1514,7000001513,,1054,2,4.0,1976.0,PENDING,TRANSFER,,27951.0
1515,7000001514,20250802.0,351,1,,1002.0,PAID,CARD,TX-982VHFMUGH9V,18142.5
1516,7000001515,20250902.0,1162,1,,1691.0,PAID,CARD,TX-VMBBS4WD9EBO,44760.0
1517,7000001516,20241231.0,1237,1,,1895.0,PAID,CARD,TX-UIU30Y7CJOA9,55650.0
1518,7000001517,20250907.0,633,2,1.0,1653.0,PAID,CASH,TX-7KADC5R25ECR,51455.25
1519,7000001518,20240908.0,405,1,,2089.0,PAID,CARD,TX-TVETN3GUJS4O,50205.0
1520,7000001519,20241127.0,244,1,,,PAID,CARD,TX-8F16EK79HB82,45912.0
1521,7000001520,20250606.0,1048,2,1.0,2525.0,REFUNDED,CASH,TX-JBS6E9QYRKO0,45865.05
1522,7000001521,20240608.0,324,2,1.0,1929.0,PAID,CASH,TX-710Q6FCE11V7,56628.0
1523,7000001522,20241122.0,179,1,,982.0,PAID,CARD,TX-049RRJW2JY56,43451.1
1524,7000001523,20241224.0,518,2,4.0,3026.0,PAID,TRANSFER,TX-LGD2KZC3XJ6M,45701.7
1525,7000001524,20250417.0,222,1,,140.0,PAID,CARD,TX-IETCPS99ILIJ,35574.0
1526,7000001525,20250313.0,1301,1,,2286.0,PAID,GATEWAY,TX-KI0B5DJAKCQA,18051.75
1527,7000001526,,884,1,,619.0,PENDING,CARD,,27636.0
1528,7000001527,,865,2,3.0,2863.0,PENDING,CASH,,41382.0
1529,7000001528,20240101.0,576,1,,736.0,PAID,CARD,TX-LAJAZUCX0305,80515.5
1530,7000001529,20240903.0,642,2,1.0,2602.0,PAID,CARD,TX-A9WSL4IRBO2V,13794.0
1531,7000001530,,1318,1,,1634.0,FAILED,CARD,,42664.2
1532,7000001531,20250409.0,1392,1,,2702.0,PAID,GATEWAY,TX-U74N72YK938B,50558.4
1533,7000001532,20240330.0,22,2,3.0,942.0,PAID,CARD,TX-62QHGENYPV1Y,36209.25
1534,7000001533,20250520.0,1086,2,1.0,2131.0,PAID,CARD,TX-1W3WRRDU2PLC,41382.0
1535,7000001534,20241113.0,995,1,,547.0,PAID,CARD,TX-YD5WF9BSTY01,48233.91
1536,7000001535,20241113.0,1362,1,,678.0,REFUNDED,GATEWAY,TX-YOV03RK3MZGH,83490.0
1537,7000001536,20240413.0,1176,2,3.0,313.0,PAID,TRANSFER,TX-MJ0ESPVXWAYJ,17787.0
1538,7000001537,20240828.0,991,2,3.0,268.0,PAID,CARD,TX-GS7I05PK4BLR,13068.0
1539,7000001538,,461,2,4.0,2910.0,PENDING,CARD,,30129.0
1540,7000001539,20250218.0,656,2,4.0,2714.0,PAID,CASH,TX-6CCEESF78EFN,39131.4
1541,7000001540,20240409.0,1327,1,,2853.0,PAID,CARD,TX-OBQQOJ8CGNM3,67329.0
1542,7000001541,20240530.0,974,2,3.0,61.0,PAID,CARD,TX-ZLI8WR7YJZO4,43560.0
1543,7000001542,20250304.0,305,1,,1168.0,REFUNDED,GATEWAY,TX-XIC5JXJ9W48U,52627.5
1544,7000001543,20250703.0,858,1,,1449.0,REFUNDED,GATEWAY,TX-X8UQTTWR2RAU,50205.0
1545,7000001544,20250619.0,1078,1,,341.0,PAID,CARD,TX-ZIAO56EKZSBH,67447.5
1546,7000001545,20240613.0,1382,1,,1505.0,PAID,GATEWAY,TX-B2BB1PMNONZP,18442.5
1547,7000001546,20240111.0,739,2,3.0,2501.0,PAID,CARD,TX-F4HA28LXTJMT,26136.0
1548,7000001547,20250617.0,878,1,,2454.0,PAID,CARD,TX-BKI13Y6YF36N,46901.7
1549,7000001548,20250411.0,863,1,,1026.0,PAID,GATEWAY,TX-XI3KHMH50GK5,50505.0
1550,7000001549,20240323.0,504,2,3.0,876.0,PAID,CASH,TX-OZM18IOERUW3,17242.5
1551,7000001550,,810,1,,493.0,FAILED,CARD,,33870.0
1552,7000001551,20250204.0,1339,1,,2550.0,PAID,GATEWAY,TX-PQ7RTHQRH822,42688.8
1553,7000001552,20250123.0,769,1,,665.0,PAID,GATEWAY,TX-3CX99Q75TJVE,44460.0
1554,7000001553,20240821.0,952,1,,3038.0,PAID,CARD,TX-S02WRSHKWTNK,20557.5
1555,7000001554,20240518.0,389,1,,,REFUNDED,CARD,TX-V6MI3GLB04QM,87294.0
1556,7000001555,20250824.0,1039,1,,707.0,PAID,CARD,TX-VZCXSRKNV6NZ,20257.5
1557,7000001556,20240703.0,91,1,,2751.0,PAID,CARD,TX-5ZG83RX5LFZF,40104.0
1558,7000001557,20240622.0,1190,1,,2598.0,PAID,CARD,TX-FUHB73FGTI1B,43888.8
1559,7000001558,20250727.0,762,2,1.0,1518.0,PAID,CARD,TX-QLY3IBDYCIBB,57470.16
1560,7000001559,20240326.0,520,2,1.0,2118.0,PAID,CASH,TX-53NUP3QPYE3U,80586.0
1561,7000001560,20250419.0,604,2,2.0,670.0,PAID,CASH,TX-5QICJKTZO8MR,65703.0
1562,7000001561,,1133,1,,1413.0,FAILED,CARD,,54861.0
1563,7000001562,20241202.0,1401,1,,983.0,PAID,GATEWAY,TX-PH26MGLDEWSV,64628.28
1564,7000001563,20240517.0,298,2,1.0,,PAID,CARD,TX-9IF4XJ5K6DXQ,29040.0
1565,7000001564,20250227.0,1104,1,,923.0,PAID,GATEWAY,TX-LI8ZSFH42FDH,17208.3
1566,7000001565,20241106.0,1309,1,,,PAID,CARD,TX-8R4LG2R6HY94,28788.0
1567,7000001566,20250515.0,483,2,4.0,1160.0,PAID,CARD,TX-AHGN2PMUVANX,42688.8
1568,7000001567,20240621.0,208,1,,2835.0,PAID,GATEWAY,TX-EUM9DDU0LJD9,13068.0
1569,7000001568,20250913.0,1493,2,4.0,408.0,PAID,CARD,TX-4QC54YIH0F8Q,42688.8
1570,7000001569,20240522.0,746,1,,1208.0,REFUNDED,CARD,TX-X2WAA2PQLTWG,16020.0
1571,7000001570,20250209.0,1263,1,,2900.0,PAID,CARD,TX-NKLI2ZF6JDJV,33870.0
1572,7000001571,20250416.0,878,1,,1253.0,PAID,CARD,TX-YUAC06ISAG8U,46901.7
1573,7000001572,20250805.0,625,2,4.0,2315.0,PAID,CASH,TX-O04JBCLLHHEI,18104.62
1574,7000001573,20250418.0,1236,1,,508.0,PAID,CARD,TX-T03IN5NAUZKZ,34394.25
1575,7000001574,,700,1,,1183.0,FAILED,CARD,,28488.0
1576,7000001575,20250410.0,777,1,,334.0,PAID,GATEWAY,TX-1RPM8UH17JD3,18104.62
1577,7000001576,20240214.0,1341,1,,2622.0,PAID,CARD,TX-98EEZDMSRQCO,30240.0
1578,7000001577,20241023.0,1168,1,,1193.0,PAID,CARD,TX-QIOOOYAUWOY3,26029.2
1579,7000001578,20240315.0,715,2,2.0,1545.0,PAID,CASH,TX-PHALJ8HO18UR,27588.0
1580,7000001579,20250326.0,26,2,4.0,2977.0,PAID,TRANSFER,TX-4DUENZOZFUVU,41382.0
1581,7000001580,,1469,1,,1812.0,FAILED,GATEWAY,,82003.8
1582,7000001581,20241219.0,783,1,,2539.0,PAID,CARD,TX-825LC1E74L9A,19350.0
1583,7000001582,20240907.0,1323,2,1.0,1308.0,PAID,CASH,TX-KH67MJGO7YE5,16008.3
1584,7000001583,20250701.0,8,2,4.0,,PAID,CARD,TX-DNK6S6S5CG01,84942.0
1585,7000001584,20241229.0,336,2,2.0,748.0,PAID,CASH,TX-5ITDNUJEOREV,91693.8
1586,7000001585,20240602.0,386,1,,2851.0,PAID,GATEWAY,TX-AWLFB6EDRMBN,55650.0
1587,7000001586,20250921.0,1375,2,4.0,716.0,PAID,CASH,TX-SIPEC45JYE3I,39204.0
1588,7000001587,20250615.0,162,1,,273.0,PAID,GATEWAY,TX-93FBR1YVFNF6,42688.8
1589,7000001588,20240306.0,1203,2,3.0,1531.0,PAID,CASH,TX-SKGXCLAOLHZ5,42688.8
1590,7000001589,20240913.0,835,1,,707.0,PAID,GATEWAY,TX-P6K5ASZ6E3TF,44324.4
1591,7000001590,20240318.0,566,2,1.0,1495.0,PAID,CARD,TX-Z3UC8BXD14Y0,59459.4
1592,7000001591,20250212.0,383,1,,1606.0,PAID,CARD,TX-A0W03BKFD47L,33870.0
1593,7000001592,20240614.0,746,1,,,PAID,GATEWAY,TX-ZLUABWHN8KDH,39542.4
1594,7000001593,,383,2,1.0,573.0,PENDING,CARD,,27588.0
1595,7000001594,20250926.0,1419,1,,2663.0,PAID,CARD,TX-TEMTYB2DQLOB,85416.0
1596,7000001595,20241122.0,1037,2,3.0,678.0,REFUNDED,CASH,TX-P4KGLVRSP2EC,17242.5
1597,7000001596,20240126.0,775,2,3.0,832.0,REFUNDED,CASH,TX-VVV8S5E8YRRZ,13068.0
1598,7000001597,,1015,1,,,FAILED,GATEWAY,,55513.88
1599,7000001598,,1197,2,1.0,,FAILED,CASH,,43923.0
1600,7000001599,20250331.0,773,2,3.0,676.0,PAID,TRANSFER,TX-D4PXRJAIJQW4,79860.0
1601,7000001600,20250710.0,413,1,,1163.0,PAID,CARD,TX-VZ8Z8H6CA4NU,40031.4
1602,7000001601,20250828.0,681,1,,3013.0,PAID,CARD,TX-U1YV3VECO9DC,67447.5
1603,7000001602,20250609.0,1425,2,4.0,3001.0,PAID,CASH,TX-4IDNE1G3PEUO,14941.08
1604,7000001603,20250814.0,394,1,,1158.0,PAID,CARD,TX-NKTT7MUX7DP4,52927.5
1605,7000001604,20250618.0,942,2,2.0,1767.0,PAID,TRANSFER,TX-T9FXL6KPL0NB,82455.45
1606,7000001605,20250607.0,1238,2,2.0,450.0,PAID,CARD,TX-47V5KN4NMMPX,85305.0
1607,7000001606,20250315.0,1045,1,,2995.0,PAID,GATEWAY,TX-A375JF82H97H,40104.0
1608,7000001607,20250519.0,594,2,4.0,1361.0,PAID,CARD,TX-KOPOK6EDLV9R,85377.6
1609,7000001608,20250521.0,58,1,,1104.0,PAID,CARD,TX-PMFS99BKTPYH,18351.75
1610,7000001609,20250126.0,1008,2,4.0,776.0,PAID,TRANSFER,TX-ZSR87R9HN42K,109771.2
1611,7000001610,20240517.0,1028,2,3.0,884.0,PAID,CARD,TX-ZXLFUBBCRO2O,45534.72
1612,7000001611,20250505.0,1024,2,4.0,2312.0,PAID,CASH,TX-UMQWQ7NU1217,43560.0
1613,7000001612,20241216.0,426,1,,2136.0,REFUNDED,CARD,TX-QU56I8B3DV7C,31992.0
1614,7000001613,20250602.0,90,1,,1766.0,PAID,GATEWAY,TX-D0YZR0Q2SOU5,38552.7
1615,7000001614,20250913.0,728,1,,2604.0,PAID,CARD,TX-V63YD6O8DCR8,46554.75
1616,7000001615,20240405.0,294,1,,2182.0,PAID,CARD,TX-T40D9NVYYAPK,52627.5
1617,7000001616,20250321.0,200,1,,566.0,PAID,GATEWAY,TX-WKJCUHTST8OI,17208.3
1618,7000001617,20240304.0,676,2,2.0,448.0,PAID,CASH,TX-X0F3DLENV6KD,49005.0
1619,7000001618,20250228.0,694,1,,3106.0,PAID,GATEWAY,TX-24ZVSFJSHI84,61095.0
1620,7000001619,,800,2,4.0,310.0,FAILED,CARD,,34303.5
1621,7000001620,20250511.0,1418,1,,1243.0,PAID,GATEWAY,TX-AW7Y7PHMPCG6,14268.0
1622,7000001621,20240413.0,245,1,,2528.0,PAID,GATEWAY,TX-KHI3EYJWG6U5,42364.2
1623,7000001622,20250520.0,441,1,,1563.0,PAID,CARD,TX-YONG7FGROQTI,40404.0
1624,7000001623,20250312.0,393,1,,186.0,PAID,CARD,TX-ODU64DS187FW,101932.5
1625,7000001624,20250919.0,1428,1,,1201.0,PAID,GATEWAY,TX-FHEAX4J4BTII,53227.5
1626,7000001625,20240705.0,852,1,,1942.0,REFUNDED,GATEWAY,TX-FSM9U5T0J2YR,53361.0
1627,7000001626,20240208.0,379,1,,47.0,PAID,CARD,TX-AD8VWGTFGMUM,29088.0
1628,7000001627,20240920.0,653,1,,2828.0,PAID,CARD,TX-4MSS8ABAX7H8,29659.2
1629,7000001628,20250713.0,230,1,,3050.0,PAID,GATEWAY,TX-MQ7DFRAE77P1,46638.0
1630,7000001629,20250821.0,310,1,,56.0,PAID,GATEWAY,TX-5AX16X7D1D2H,44760.0
1631,7000001630,,689,1,,1954.0,FAILED,CARD,,16335.0
1632,7000001631,20240706.0,715,2,2.0,1547.0,PAID,CASH,TX-WZ7FN3HK2ZHD,27588.0
1633,7000001632,20250814.0,520,1,,342.0,PAID,CARD,TX-YYBWFRSMQGXW,51294.0
1634,7000001633,20250731.0,896,1,,971.0,PAID,CARD,TX-JEPBVSH4FFHR,53227.5
1635,7000001634,20250714.0,703,1,,3080.0,PAID,CARD,TX-VO805AN7PT0I,55350.0
1636,7000001635,20241120.0,1365,2,3.0,1739.0,PAID,CARD,TX-RTRKOFVEKOL6,15246.0
1637,7000001636,20241229.0,746,2,2.0,,REFUNDED,CASH,TX-W3E9K5PZRUJ2,18150.0
1638,7000001637,20250315.0,789,2,2.0,1178.0,PAID,CARD,TX-TESN9DUUPJ53,45520.2
1639,7000001638,20250705.0,77,1,,2207.0,PAID,GATEWAY,TX-21W7UWQUYZ33,28788.0
1640,7000001639,,953,1,,1520.0,PENDING,GATEWAY,,82875.0
1641,7000001640,20240927.0,515,1,,548.0,REFUNDED,GATEWAY,TX-DSNGMQOR7VQG,15420.0
1642,7000001641,20240829.0,1066,1,,2218.0,PAID,GATEWAY,TX-6K9M1D0RIEIS,30240.0
1643,7000001642,20240501.0,1081,1,,1087.0,PAID,CARD,TX-RWWRTETOL4FE,93774.6
1644,7000001643,20241101.0,1232,1,,868.0,PAID,GATEWAY,TX-WEGFLKQIW9VZ,44351.1
1645,7000001644,20240714.0,585,2,4.0,2349.0,PAID,CASH,TX-UCQ07BCEGDE8,34485.0
1646,7000001645,20250327.0,624,2,1.0,2020.0,PAID,CASH,TX-CR2W1PLBRP89,39930.0
