nps_response_sk,responded_at_date_id,responded_at_time,customer_sk,comment,channel_sk,score
491,20250730,07:48:11,305,Todo perfecto,1,4
492,20240410,21:45:17,400,Atención muy buena,2,7
493,20241129,22:26:11,415,Todo perfecto,2,9
494,20240117,07:11:19,739,Tardó un poco más de lo esperado,2,9
495,20241216,04:58:04,45,Muy conforme con la calidad,1,4
496,20240401,04:19:09,584,Todo perfecto,2,8
497,20250314,13:14:31,305,Entrega rápida y producto excelente,1,9
498,20250828,11:39:30,1061,Volvería a comprar,2,4
499,20250420,13:57:39,1051,Todo perfecto,2,9
500,20250818,06:29:10,981,Podría mejorar el empaque,1,8
501,20240127,08:24:37,381,Entrega rápida y producto excelente,1,7
502,20240518,01:36:24,866,Tardó un poco más de lo esperado,1,2
503,20240604,20:35:58,323,Podría mejorar el empaque,1,9
504,20240504,02:55:25,1223,Muy conforme con la calidad,2,8
505,20250630,22:39:41,728,Podría mejorar el empaque,2,3
506,20240523,04:27:32,176,Muy conforme con la calidad,1,8
507,20240327,15:30:54,620,Atención muy buena,1,3
508,20241114,22:42:02,11,Atención muy buena,2,8
509,20251002,12:19:07,866,Podría mejorar el empaque,1,5
510,20240117,23:52:25,609,Volvería a comprar,1,9
511,20250210,00:25:59,662,Entrega rápida y producto excelente,1,6
512,20250321,01:23:04,1304,Podría mejorar el empaque,2,3
513,20241024,00:29:57,1358,Entrega rápida y producto excelente,1,5
514,20241003,20:01:12,1396,Tardó un poco más de lo esperado,2,8
515,20241201,09:29:25,921,Todo perfecto,1,7
516,20240325,10:26:03,193,Todo perfecto,2,9
517,20250307,02:44:22,1366,Podría mejorar el empaque,1,7
518,20241229,16:14:53,4,,2,8
519,20240402,23:20:55,373,Entrega rápida y producto excelente,1,4
520,20250617,14:34:03,3,Todo perfecto,2,10
521,20250622,08:32:36,156,Muy conforme con la calidad,2,2
522,20250926,11:27:19,1274,Muy conforme con la calidad,2,6
523,20250425,03:13:10,1200,Volvería a comprar,1,9
524,20240305,02:24:02,1271,Podría mejorar el empaque,2,9
525,20250614,11:16:57,1089,Todo perfecto,1,10
526,20250909,13:13:42,1399,Entrega rápida y producto excelente,2,9
527,20240708,22:49:45,20,Volvería a comprar,1,8
528,20241212,16:26:08,874,Atención muy buena,2,9
529,20241018,11:04:43,919,Tardó un poco más de lo esperado,2,7
530,20250803,00:42:21,885,Podría mejorar el empaque,1,9
531,20240818,13:05:16,123,Muy conforme con la calidad,2,2
532,20240813,12:11:00,301,Todo perfecto,1,10
533,20240924,12:11:09,1172,Todo perfecto,1,5
534,20240823,08:58:05,1334,Todo perfecto,2,7
535,20250822,09:47:30,1462,Volvería a comprar,2,3
536,20241209,04:39:01,1393,Atención muy buena,2,8
537,20240423,23:16:41,1220,Todo perfecto,1,10
538,20250411,23:27:42,1355,Podría mejorar el empaque,1,0
539,20240114,12:52:57,27,Tardó un poco más de lo esperado,2,8
540,20240701,06:27:01,921,Volvería a comprar,1,3
541,20240316,08:53:37,1469,Volvería a comprar,2,9
542,20250629,03:08:05,1228,Muy conforme con la calidad,1,9
543,20240526,02:44:24,1123,Tardó un poco más de lo esperado,2,7
544,20250907,06:57:45,125,Entrega rápida y producto excelente,1,8
545,20241017,14:22:38,476,,1,9
546,20250616,23:27:26,833,Volvería a comprar,1,5
547,20240320,08:15:50,253,Muy conforme con la calidad,1,10
548,20240824,10:06:53,398,Podría mejorar el empaque,1,9
549,20240119,06:43:36,253,Todo perfecto,2,9
550,20240308,01:09:04,206,Atención muy buena,2,9
551,20250910,19:28:26,899,Muy conforme con la calidad,1,8
552,20250707,01:49:09,1254,Tardó un poco más de lo esperado,1,3
553,20250518,04:03:58,1317,Podría mejorar el empaque,2,10
554,20241119,17:17:29,466,,1,8
555,20241119,01:05:53,191,Atención muy buena,1,9
556,20240629,22:16:25,362,Muy conforme con la calidad,2,10
557,20240508,15:23:45,263,,1,7
558,20250309,08:07:13,1473,Entrega rápida y producto excelente,2,10
559,20240725,08:04:07,1494,Muy conforme con la calidad,1,10
560,20250719,15:37:54,359,Muy conforme con la calidad,1,3
561,20250726,20:07:18,181,Todo perfecto,1,10
562,20250402,05:55:36,682,Volvería a comprar,1,10
563,20240530,18:17:36,1142,Entrega rápida y producto excelente,1,9
564,20240518,21:48:39,475,Entrega rápida y producto excelente,1,8
565,20241224,14:04:24,541,Atención muy buena,1,10
566,20250622,06:38:43,1344,Todo perfecto,1,10
567,20240726,04:52:11,561,Muy conforme con la calidad,2,10
568,20240223,08:16:33,981,Podría mejorar el empaque,2,8
569,20240421,14:38:39,311,Muy conforme con la calidad,1,7
570,20250515,05:37:47,1007,Atención muy buena,2,7
571,20250916,19:04:39,952,,2,6
572,20240522,10:21:54,1464,Atención muy buena,1,8
573,20240619,17:44:01,863,Todo perfecto,2,9
574,20250208,22:32:09,724,Todo perfecto,2,6
575,20240315,01:57:31,612,Atención muy buena,1,7
576,20240305,01:51:22,382,Entrega rápida y producto excelente,1,5
577,20240114,09:57:37,311,Todo perfecto,1,8
578,20251005,12:30:50,1041,Podría mejorar el empaque,2,9
579,20250920,15:28:06,816,Atención muy buena,1,7
580,20250924,06:44:02,189,Volvería a comprar,2,6
581,20240813,06:06:02,1133,Todo perfecto,2,0
582,20240928,11:54:54,1095,Volvería a comprar,1,7
583,20250828,09:12:35,468,Todo perfecto,2,1
584,20250223,12:57:11,416,Muy conforme con la calidad,2,1
585,20250519,09:03:34,707,Volvería a comprar,1,10
586,20240419,04:39:36,1375,Atención muy buena,1,7
587,20250616,16:30:15,689,Atención muy buena,2,7
588,20250404,21:29:09,759,Atención muy buena,2,7
589,20250421,18:09:13,152,Atención muy buena,2,7
590,20250618,18:17:10,724,Tardó un poco más de lo esperado,2,5
591,20240824,10:17:13,495,Muy conforme con la calidad,1,6
592,20240304,07:45:43,1104,,1,4
593,20240823,14:14:10,1158,,1,0
594,20250619,05:05:19,932,Todo perfecto,1,9
595,20240905,09:33:36,150,Volvería a comprar,1,2
596,20240320,16:41:42,323,Podría mejorar el empaque,2,2
597,20240324,07:17:51,536,Atención muy buena,1,5
598,20250622,03:38:34,1245,Todo perfecto,1,10
599,20250803,13:24:07,1284,Podría mejorar el empaque,1,6
600,20250409,01:57:39,1168,Muy conforme con la calidad,1,3
601,20240113,07:39:50,1346,Podría mejorar el empaque,1,10
602,20240712,09:00:31,213,Muy conforme con la calidad,1,7
603,20240709,13:29:31,311,Atención muy buena,2,7
604,20240130,02:42:02,32,Entrega rápida y producto excelente,2,9
605,20240212,11:50:47,606,Atención muy buena,1,7
606,20241010,17:18:02,1309,Volvería a comprar,2,9
607,20240322,05:32:22,833,Volvería a comprar,1,7
608,20241124,03:12:53,1123,Entrega rápida y producto excelente,2,9
609,20250731,01:56:44,878,Tardó un poco más de lo esperado,2,8
610,20250621,18:38:55,1317,,2,8
611,20250529,19:20:29,218,Entrega rápida y producto excelente,2,9
612,20250927,02:43:49,1456,Volvería a comprar,1,8
613,20240820,20:16:53,987,Muy conforme con la calidad,1,9
614,20240111,09:55:08,75,Volvería a comprar,2,10
615,20250501,21:01:17,649,Volvería a comprar,2,1
616,20250514,04:03:05,1095,Atención muy buena,1,6
617,20240206,21:50:30,1136,Tardó un poco más de lo esperado,2,9
618,20240610,21:13:04,1046,Atención muy buena,1,7
619,20240830,07:19:38,1339,Todo perfecto,2,8
620,20250323,21:00:56,724,Volvería a comprar,1,3
621,20250814,09:23:26,32,Muy conforme con la calidad,2,0
622,20240622,16:10:51,728,Atención muy buena,1,8
623,20250711,02:46:44,299,Atención muy buena,1,7
624,20250112,10:31:40,299,Muy conforme con la calidad,1,5
625,20250412,06:09:48,404,Podría mejorar el empaque,1,7
626,20250421,14:07:42,138,Muy conforme con la calidad,2,10
627,20250410,04:07:56,1270,Entrega rápida y producto excelente,1,9
628,20240514,05:46:03,1116,Todo perfecto,1,7
629,20240816,17:08:34,239,Entrega rápida y producto excelente,1,5
630,20240706,16:47:48,849,Volvería a comprar,2,10
631,20240824,10:56:31,1432,Volvería a comprar,2,9
632,20241217,15:08:46,109,Entrega rápida y producto excelente,2,0
633,20240113,03:24:59,117,Volvería a comprar,2,9
634,20250402,09:59:06,1007,Podría mejorar el empaque,2,2
635,20241121,21:36:34,473,Atención muy buena,2,9
636,20250430,11:49:04,188,Todo perfecto,1,9
637,20250306,14:29:15,960,Podría mejorar el empaque,1,9
638,20240320,01:24:37,298,Todo perfecto,1,9
639,20250912,15:38:13,1146,Tardó un poco más de lo esperado,1,10
640,20241007,21:17:36,790,Muy conforme con la calidad,1,10
641,20240509,11:42:48,114,Atención muy buena,1,10
642,20250424,16:23:15,778,Muy conforme con la calidad,1,8
643,20250530,10:51:05,1380,,1,2
644,20251002,12:27:45,1265,,2,8
645,20250316,22:22:46,171,Muy conforme con la calidad,1,7
646,20250502,10:21:53,384,Podría mejorar el empaque,1,6
647,20250407,09:07:28,917,Tardó un poco más de lo esperado,1,9
648,20250706,07:21:53,1262,Tardó un poco más de lo esperado,2,0
649,20240918,10:49:42,1174,Atención muy buena,1,6
650,20240128,15:04:33,312,Todo perfecto,1,10
651,20241226,08:23:04,1107,Podría mejorar el empaque,1,6
652,20240725,14:29:31,786,Entrega rápida y producto excelente,1,8
653,20250406,13:41:55,956,Muy conforme con la calidad,1,6
654,20250322,04:16:08,227,Muy conforme con la calidad,2,7
655,20240527,08:35:30,1339,Entrega rápida y producto excelente,1,9
656,20250202,05:53:58,79,,1,6
657,20240603,05:04:04,515,Volvería a comprar,1,9
658,20250324,04:47:35,1098,,1,8
659,20240922,01:56:03,254,Todo perfecto,1,6
660,20250517,08:30:13,1459,Todo perfecto,1,1
661,20250609,20:08:41,688,Muy conforme con la calidad,2,8
662,20240310,17:29:06,1356,Atención muy buena,2,7
663,20240119,23:29:51,1409,Podría mejorar el empaque,2,1
664,20241104,20:36:32,512,Tardó un poco más de lo esperado,1,9
665,20250409,05:15:25,284,Todo perfecto,1,7
666,20250418,03:00:36,79,Muy conforme con la calidad,2,2
667,20250928,03:56:35,1246,Volvería a comprar,1,7
668,20250426,11:31:30,343,Entrega rápida y producto excelente,2,7
669,20250330,15:05:25,387,,1,7
670,20240214,17:18:32,682,Entrega rápida y producto excelente,2,8
671,20250328,00:50:56,778,Tardó un poco más de lo esperado,1,7
672,20250517,08:48:52,507,,1,6
673,20240226,09:33:22,640,Volvería a comprar,1,10
674,20250415,00:51:12,1249,Todo perfecto,1,7
675,20240817,17:46:52,958,Volvería a comprar,1,8
676,20240307,15:37:47,1259,Podría mejorar el empaque,1,7
677,20240329,19:51:37,1441,Volvería a comprar,1,10
678,20250713,19:42:57,379,Podría mejorar el empaque,2,9
679,20241227,02:57:08,115,Atención muy buena,1,7
680,20240123,02:25:41,1496,,2,8
681,20240310,20:49:15,1435,Muy conforme con la calidad,1,7
682,20240527,15:44:54,1271,Podría mejorar el empaque,1,3
683,20240422,01:47:39,643,Volvería a comprar,1,9
684,20250113,04:23:05,1006,Volvería a comprar,2,6
685,20240621,16:00:01,672,Entrega rápida y producto excelente,1,10
686,20250114,10:36:46,439,Todo perfecto,1,0
687,20240306,11:53:45,928,Tardó un poco más de lo esperado,1,1
688,20240329,06:36:00,705,Todo perfecto,1,6
689,20250812,19:11:39,717,Podría mejorar el empaque,2,8
690,20240127,22:35:20,622,Podría mejorar el empaque,2,7
691,20240601,04:53:20,90,Tardó un poco más de lo esperado,2,7
692,20250409,19:39:38,1101,,2,10
693,20241101,17:29:56,1362,Tardó un poco más de lo esperado,1,9
694,20241020,09:27:30,644,Volvería a comprar,2,9
695,20250919,20:34:27,265,Muy conforme con la calidad,1,9
696,20250408,04:05:29,506,,1,8
697,20250414,23:12:00,737,,1,0
698,20240924,01:20:00,1294,Podría mejorar el empaque,1,10
699,20250508,18:15:49,204,Entrega rápida y producto excelente,1,8
700,20241014,15:40:38,1246,Volvería a comprar,1,10
701,20240801,14:34:31,314,Tardó un poco más de lo esperado,1,1
702,20250819,11:18:28,614,Muy conforme con la calidad,2,10
703,20250122,23:17:32,497,Volvería a comprar,2,8
704,20240622,01:58:01,1267,Volvería a comprar,2,8
705,20240426,01:59:09,768,Atención muy buena,1,8
706,20240819,19:37:12,886,Muy conforme con la calidad,2,3
707,20240128,18:09:35,1173,,1,1
708,20250718,08:32:38,561,Volvería a comprar,1,10
709,20240212,04:25:43,59,Todo perfecto,2,10
710,20250502,04:41:22,951,Podría mejorar el empaque,2,6
711,20241128,00:40:32,790,,1,9
712,20250809,04:05:41,412,Atención muy buena,1,6
713,20240227,23:08:54,1250,Tardó un poco más de lo esperado,2,3
714,20250113,08:48:13,146,Tardó un poco más de lo esperado,1,9
715,20240816,19:05:03,670,Todo perfecto,2,9
716,20240303,08:17:29,595,Todo perfecto,1,9
717,20241110,03:32:22,1027,Volvería a comprar,1,9
718,20240808,00:55:01,1183,Tardó un poco más de lo esperado,2,9
719,20250729,21:33:37,655,Todo perfecto,1,9
720,20240410,14:16:56,287,Volvería a comprar,1,9
721,20250726,04:35:01,489,Todo perfecto,2,10
722,20250717,07:06:22,897,Entrega rápida y producto excelente,1,9
723,20240227,05:57:00,1094,Podría mejorar el empaque,1,7
724,20241220,20:38:12,713,Podría mejorar el empaque,2,7
725,20241020,13:19:18,1222,Atención muy buena,2,6
726,20250724,00:27:55,176,,1,7
727,20241217,17:42:55,1373,Muy conforme con la calidad,2,9
728,20240811,20:26:23,613,Tardó un poco más de lo esperado,2,3
729,20240206,06:06:59,1082,Todo perfecto,2,9
730,20250611,23:20:49,790,Tardó un poco más de lo esperado,1,5
731,20240907,20:26:33,173,Atención muy buena,1,9
732,20250903,07:44:37,800,Muy conforme con la calidad,1,5
733,20250224,13:56:02,1014,Muy conforme con la calidad,2,0
734,20240116,19:04:29,719,Entrega rápida y producto excelente,1,8
735,20250403,20:09:32,1247,,2,7
736,20241226,23:07:04,882,,1,8
737,20250213,06:30:51,281,Tardó un poco más de lo esperado,1,7
738,20241025,15:20:01,1014,Entrega rápida y producto excelente,2,6
739,20241020,13:01:32,621,Tardó un poco más de lo esperado,1,4
740,20250608,23:51:23,441,Muy conforme con la calidad,1,7
741,20240522,14:01:38,1062,,2,9
742,20250821,05:00:28,952,Tardó un poco más de lo esperado,1,10
743,20240704,23:14:17,496,Entrega rápida y producto excelente,1,6
744,20240612,12:51:25,338,Muy conforme con la calidad,1,5
745,20240522,02:11:12,192,Volvería a comprar,1,7
746,20240422,17:56:45,292,,1,10
747,20250521,15:29:44,483,,2,10
748,20250506,08:42:23,1356,Tardó un poco más de lo esperado,1,3
749,20250904,18:05:55,1234,,2,8
750,20250919,16:18:25,359,Entrega rápida y producto excelente,1,9
751,20240309,08:48:44,671,Volvería a comprar,1,8
752,20240504,05:15:04,595,,2,9
753,20250530,11:03:20,1405,Entrega rápida y producto excelente,2,7
754,20250118,07:09:15,1230,,1,5
755,20251005,08:32:19,173,Todo perfecto,1,7
756,20250221,06:14:46,130,Muy conforme con la calidad,2,0
757,20240909,13:44:53,1134,,1,9
758,20250525,01:14:32,132,Muy conforme con la calidad,1,8
759,20240610,03:00:59,74,Todo perfecto,2,0
760,20240417,16:23:53,147,Todo perfecto,2,5
761,20250408,08:26:53,791,,1,10
762,20240728,10:51:55,849,,1,10
763,20240305,13:39:19,84,Tardó un poco más de lo esperado,1,8
764,20250917,18:56:28,1313,Entrega rápida y producto excelente,2,7
765,20250804,20:38:02,930,Atención muy buena,2,9
766,20240708,11:02:15,160,Entrega rápida y producto excelente,2,3
767,20250918,01:04:31,1128,,2,10
768,20250413,20:36:31,1029,Todo perfecto,1,8
769,20240809,13:22:23,185,Todo perfecto,1,10
770,20240609,23:57:29,1144,Podría mejorar el empaque,2,8
771,20240815,09:43:16,930,Atención muy buena,1,6
772,20250908,09:58:29,774,Tardó un poco más de lo esperado,1,10
773,20240822,03:49:31,688,Podría mejorar el empaque,2,1
774,20240409,13:43:27,433,Tardó un poco más de lo esperado,1,9
775,20250321,17:20:28,249,Entrega rápida y producto excelente,1,9
776,20250303,00:13:16,279,Muy conforme con la calidad,2,0
777,20240906,08:27:32,1452,,1,9
778,20240117,08:38:27,1223,Todo perfecto,2,8
779,20241005,05:23:11,1385,Entrega rápida y producto excelente,1,10
780,20250808,01:25:38,722,Atención muy buena,1,9
781,20240530,17:22:24,1085,Muy conforme con la calidad,2,6
782,20250816,11:27:05,378,Volvería a comprar,1,3
783,20241202,20:19:13,54,Podría mejorar el empaque,1,3
784,20240621,03:58:20,727,Podría mejorar el empaque,2,6
785,20250526,19:42:12,1398,Todo perfecto,1,9
786,20250916,14:57:29,1406,Podría mejorar el empaque,1,4
787,20250426,13:27:08,591,Todo perfecto,1,10
788,20240402,06:22:13,10,Tardó un poco más de lo esperado,2,9
789,20240908,03:07:05,877,,1,2
790,20241128,17:14:29,522,Muy conforme con la calidad,2,8
791,20240826,03:03:20,203,Entrega rápida y producto excelente,2,7
792,20241027,19:23:07,1049,Entrega rápida y producto excelente,2,10
793,20250928,11:05:05,855,Volvería a comprar,2,8
794,20240122,17:16:43,584,Entrega rápida y producto excelente,1,7
795,20240823,10:58:15,1387,,2,5
796,20241206,14:14:48,571,Todo perfecto,1,10
797,20250609,14:10:19,791,Muy conforme con la calidad,2,6
798,20241222,03:58:20,106,Tardó un poco más de lo esperado,2,7
799,20240429,20:53:00,1114,,2,10
800,20241229,11:38:33,397,Volvería a comprar,1,5
801,20250519,11:04:53,46,Volvería a comprar,2,9
802,20241228,16:34:00,1260,Muy conforme con la calidad,2,8
803,20241107,04:46:54,1473,Podría mejorar el empaque,2,6
804,20250425,21:23:25,582,,1,10
805,20240326,12:52:22,323,Atención muy buena,1,8
806,20240508,16:44:30,203,Tardó un poco más de lo esperado,1,7
807,20250513,12:59:05,1180,Tardó un poco más de lo esperado,1,8
808,20250119,06:02:07,358,Entrega rápida y producto excelente,2,6
809,20250515,07:58:58,922,Volvería a comprar,1,8
810,20250225,21:56:48,645,Entrega rápida y producto excelente,2,4
811,20250212,15:07:57,582,Atención muy buena,1,7
812,20250920,16:36:01,783,Podría mejorar el empaque,2,2
813,20240123,13:21:19,852,Atención muy buena,1,0
814,20250809,02:16:29,513,Entrega rápida y producto excelente,1,2
815,20240314,07:04:14,169,Entrega rápida y producto excelente,1,8
816,20240501,07:10:20,1209,,1,10
817,20250930,14:41:02,147,Muy conforme con la calidad,1,9
818,20250207,08:21:01,185,Podría mejorar el empaque,1,6
819,20241027,16:02:57,739,Volvería a comprar,2,10
820,20250122,00:50:11,1470,Atención muy buena,2,7
821,20250213,15:17:17,198,Muy conforme con la calidad,1,8
822,20240312,14:39:22,884,Todo perfecto,1,8
823,20241119,13:47:03,457,Podría mejorar el empaque,1,10
824,20241226,18:51:24,1184,Podría mejorar el empaque,1,10
825,20250527,23:28:08,221,Entrega rápida y producto excelente,2,7
826,20240829,17:19:25,117,Volvería a comprar,2,10
827,20240717,15:50:20,703,Todo perfecto,2,6
828,20251004,18:11:14,58,Podría mejorar el empaque,1,10
829,20250506,16:19:33,840,Volvería a comprar,1,8
830,20250205,07:02:06,634,Volvería a comprar,2,8
831,20241109,19:49:57,914,Atención muy buena,2,9
832,20250505,22:09:50,1281,Atención muy buena,1,8
833,20240118,19:22:17,852,Atención muy buena,2,5
834,20240321,02:19:39,1336,Tardó un poco más de lo esperado,2,7
835,20251009,01:40:51,1264,Volvería a comprar,1,1
836,20250201,19:30:04,140,,1,1
837,20240612,14:07:23,162,Podría mejorar el empaque,1,9
838,20240502,02:28:49,460,Volvería a comprar,1,8
839,20241108,10:40:15,1392,Podría mejorar el empaque,1,5
840,20241109,12:18:56,4,Entrega rápida y producto excelente,2,9
841,20241130,20:42:39,1372,,2,8
842,20250726,06:01:12,921,Atención muy buena,2,7
843,20241002,06:31:39,880,Todo perfecto,1,8
844,20240531,04:42:33,603,Todo perfecto,2,10
845,20250219,22:24:55,389,Muy conforme con la calidad,1,5
846,20240209,07:49:33,769,Podría mejorar el empaque,2,8
847,20240823,16:21:14,1480,Podría mejorar el empaque,2,9
848,20250620,21:29:16,1352,Todo perfecto,1,1
849,20240531,17:22:53,1081,Todo perfecto,1,6
850,20250811,14:09:41,1318,Volvería a comprar,2,10
851,20240112,20:20:44,1129,Muy conforme con la calidad,2,8
852,20250730,07:36:49,495,Muy conforme con la calidad,1,7
853,20240325,13:58:28,586,Entrega rápida y producto excelente,1,10
854,20240425,12:00:49,554,Entrega rápida y producto excelente,1,7
855,20250922,01:57:51,440,Muy conforme con la calidad,1,1
856,20241231,12:05:42,212,Entrega rápida y producto excelente,1,8
857,20250518,02:41:01,538,Muy conforme con la calidad,1,8
858,20250730,15:09:05,588,Atención muy buena,2,0
859,20250805,10:06:17,1135,Atención muy buena,1,7
860,20240624,02:46:06,452,Podría mejorar el empaque,1,7
861,20250219,11:55:10,26,Entrega rápida y producto excelente,1,5
862,20240907,08:16:30,33,Muy conforme con la calidad,2,10
863,20250513,01:39:02,229,Entrega rápida y producto excelente,1,9
864,20240307,21:50:39,1155,Volvería a comprar,1,10
865,20250902,21:17:09,843,Muy conforme con la calidad,1,6
866,20240513,10:55:18,570,Tardó un poco más de lo esperado,2,8
867,20250528,11:57:53,1208,Tardó un poco más de lo esperado,1,8
868,20250509,23:32:32,275,Entrega rápida y producto excelente,1,7
869,20250413,14:48:05,529,Tardó un poco más de lo esperado,1,6
870,20250323,10:56:50,599,Atención muy buena,2,10
871,20250119,04:49:19,333,Todo perfecto,1,5
872,20240422,21:41:49,6,Muy conforme con la calidad,1,9
873,20250511,01:15:59,549,Atención muy buena,1,9
874,20250326,18:32:22,1427,Muy conforme con la calidad,2,6
875,20241009,10:56:28,1237,Entrega rápida y producto excelente,1,7
876,20250226,06:03:30,432,Volvería a comprar,2,8
877,20250502,13:18:13,657,Tardó un poco más de lo esperado,1,7
878,20250422,05:28:12,730,Todo perfecto,1,9
879,20241012,01:50:13,824,Tardó un poco más de lo esperado,2,7
880,20250302,03:41:27,1001,,1,9
881,20250510,22:45:10,188,Atención muy buena,1,8
882,20250711,23:12:29,965,,1,6
883,20250929,00:40:30,717,Tardó un poco más de lo esperado,1,9
884,20240306,19:23:11,1085,Tardó un poco más de lo esperado,2,9
885,20241009,14:23:36,765,Tardó un poco más de lo esperado,1,9
886,20250628,20:54:10,484,Volvería a comprar,2,2
887,20251002,17:43:01,931,Atención muy buena,1,6
888,20250905,03:20:15,417,Tardó un poco más de lo esperado,1,10
889,20241016,18:15:03,801,Tardó un poco más de lo esperado,2,10
890,20240621,21:30:37,501,Atención muy buena,1,4
891,20240331,06:29:00,1358,Volvería a comprar,2,9
892,20250822,18:02:00,1325,Entrega rápida y producto excelente,2,6
893,20241226,10:49:39,960,Muy conforme con la calidad,1,10
894,20240721,06:18:39,637,Volvería a comprar,1,6
895,20240330,23:40:56,956,Muy conforme con la calidad,2,2
896,20250404,06:14:41,533,Podría mejorar el empaque,2,7
897,20250702,23:35:45,1495,Volvería a comprar,1,6
898,20250514,05:20:05,1025,Podría mejorar el empaque,2,8
899,20240910,06:07:40,1176,Podría mejorar el empaque,1,10
900,20240328,04:53:22,803,Atención muy buena,2,8
901,20240608,18:05:00,725,Entrega rápida y producto excelente,1,6
902,20250630,05:35:44,938,Entrega rápida y producto excelente,1,9
903,20240911,19:55:00,1031,Podría mejorar el empaque,1,8
904,20241106,06:56:02,696,Atención muy buena,1,1
905,20250805,16:20:05,237,,1,3
906,20250214,22:48:47,1053,Entrega rápida y producto excelente,1,10
907,20250405,03:19:20,308,Volvería a comprar,1,6
908,20250918,07:33:40,672,Tardó un poco más de lo esperado,1,8
909,20250722,00:13:42,1147,Entrega rápida y producto excelente,2,8
910,20250612,20:07:41,1238,Todo perfecto,2,7
911,20250411,10:19:27,460,Podría mejorar el empaque,2,8
912,20240218,11:47:30,906,Podría mejorar el empaque,2,10
913,20240119,06:40:47,825,Tardó un poco más de lo esperado,1,8
914,20250509,20:38:12,1095,,2,8
915,20250219,12:20:44,435,Todo perfecto,2,10
916,20250222,21:16:30,585,,2,8
917,20240904,19:03:40,281,Tardó un poco más de lo esperado,2,9
918,20250821,05:23:19,82,,2,6
919,20240503,03:38:36,329,Muy conforme con la calidad,1,10
920,20241219,00:09:42,415,,1,7
921,20240306,00:48:28,1135,,1,4
922,20240506,23:15:19,1021,Volvería a comprar,1,4
923,20251010,18:52:09,160,,1,4
924,20250118,14:16:54,434,Tardó un poco más de lo esperado,1,7
925,20241122,11:24:04,357,Muy conforme con la calidad,2,4
926,20250412,12:50:28,1285,Todo perfecto,1,7
927,20250217,04:58:22,229,Muy conforme con la calidad,1,7
928,20240608,20:57:57,420,,1,9
929,20241220,12:03:30,2,Tardó un poco más de lo esperado,2,8
930,20240803,03:11:44,47,Todo perfecto,1,10
931,20250501,04:57:20,1163,Tardó un poco más de lo esperado,1,6
932,20250731,07:31:34,1423,Entrega rápida y producto excelente,1,9
933,20240813,00:19:39,615,Todo perfecto,1,4
934,20251012,15:12:29,1149,Muy conforme con la calidad,1,7
935,20240928,15:31:35,628,Muy conforme con la calidad,1,8
936,20250109,17:41:37,1247,Volvería a comprar,1,5
937,20250620,22:49:48,458,Tardó un poco más de lo esperado,1,9
938,20250605,10:15:12,95,Entrega rápida y producto excelente,2,10
939,20240227,17:52:26,1002,Atención muy buena,1,7
940,20250223,12:29:53,488,Podría mejorar el empaque,2,1
941,20250805,16:48:16,851,Volvería a comprar,2,4
942,20250301,02:36:55,509,Entrega rápida y producto excelente,2,7
943,20250319,01:38:52,888,Muy conforme con la calidad,1,10
944,20240619,14:38:35,1268,Atención muy buena,2,9
945,20240815,11:11:37,507,Muy conforme con la calidad,2,9
946,20250605,02:05:24,387,Tardó un poco más de lo esperado,2,10
947,20241114,10:41:57,670,Tardó un poco más de lo esperado,1,2
948,20250726,21:20:14,186,,1,9
949,20240729,22:48:51,1235,Podría mejorar el empaque,1,9
950,20240808,01:29:20,418,Muy conforme con la calidad,1,10
951,20240722,06:40:14,196,Volvería a comprar,1,6
952,20240322,18:07:59,304,,1,10
953,20241230,21:07:23,1434,,2,9
954,20250522,15:05:33,453,Volvería a comprar,2,10
955,20240823,02:15:24,1040,Tardó un poco más de lo esperado,2,4
956,20250516,18:46:22,107,Atención muy buena,1,10
957,20250319,02:31:49,887,Muy conforme con la calidad,2,8
958,20250426,20:37:47,837,,1,10
959,20250513,15:13:21,1327,Todo perfecto,1,9
960,20240417,10:16:03,836,Podría mejorar el empaque,1,9
961,20250525,07:20:42,1413,Podría mejorar el empaque,1,8
962,20240304,22:33:48,621,Atención muy buena,2,9
963,20240831,05:27:19,947,,1,6
964,20240130,06:25:32,1015,Entrega rápida y producto excelente,1,8
965,20250625,11:46:08,458,Muy conforme con la calidad,2,9
966,20250818,14:40:40,1462,,1,9
967,20241009,05:40:46,289,Todo perfecto,2,3
968,20240304,16:58:23,1318,Podría mejorar el empaque,2,0
969,20240220,01:04:31,720,Todo perfecto,2,6
970,20241025,13:22:29,350,Entrega rápida y producto excelente,2,7
971,20240218,18:23:14,1276,Volvería a comprar,1,8
972,20250217,05:53:07,1141,,2,10
973,20250415,00:56:04,640,,2,10
974,20250907,20:03:39,8,Todo perfecto,2,8
975,20250126,05:42:51,666,,2,8
976,20241026,20:51:32,1451,Podría mejorar el empaque,1,10
977,20250417,21:02:03,384,Muy conforme con la calidad,1,6
978,20241013,14:53:11,1130,Atención muy buena,1,10
979,20240413,15:16:18,547,Entrega rápida y producto excelente,1,8
980,20250526,07:13:26,1228,Tardó un poco más de lo esperado,1,10
981,20250909,22:52:02,1209,Todo perfecto,1,9
982,20250425,13:40:23,1489,Entrega rápida y producto excelente,1,9
983,20250311,20:50:23,4,Todo perfecto,1,10
984,20240813,01:57:11,760,Atención muy buena,1,9
985,20240606,02:57:29,286,Entrega rápida y producto excelente,1,9
